tag,track,config,seed,test_auc,test_ap,val_auc,best_epoch,epochs_run,train_time_sec,test_prevalence,c_adv,family,population,roc_auc,ap,train_rows,fit_sec,train_auc,n_train_presence,n_test_presence,n_background
B2_r0_full_s42,B2,full,42.0,0.4715285458537184,0.2733960721995091,0.7855810943142911,10.0,30.0,115.3228566646576,0.1847461462020874,0.6468097567558289,CDR-PINO,,,,,,,,,
B2_r1_full_s42,B2,full,42.0,0.6021674651334398,0.574856287575529,0.831392516871288,60.0,80.0,302.7578890323639,0.50210040807724,0.5076766014099121,CDR-PINO,,,,,,,,,
B2_r2_full_s42,B2,full,42.0,0.4296047713689521,0.4159426007929867,0.8451870961996323,20.0,40.0,159.13298511505127,0.45579794049263,0.6177740097045898,CDR-PINO,,,,,,,,,
B2_r3_full_s42,B2,full,42.0,0.7323907615480649,0.816896142596572,0.7988976659780349,10.0,30.0,120.11411929130554,0.666388988494873,0.6466698050498962,CDR-PINO,,,,,,,,,
B2_r4_full_s42,B2,full,42.0,0.6299057299961732,0.347387683863271,0.7507316892741615,35.0,55.0,218.90931677818295,0.2615030705928802,0.5770941972732544,CDR-PINO,,,,,,,,,
B2_r5_full_s42,B2,full,42.0,0.5931209728227769,0.5673069401539993,0.8564631589965261,10.0,30.0,120.00086522102356,0.4850458204746246,0.6441064476966858,CDR-PINO,,,,,,,,,
B2_r0_full_s43,B2,full,43.0,0.4663235650680723,0.208027745332876,0.7829144821844902,25.0,45.0,180.66349959373477,0.1847461462020874,0.5982776880264282,CDR-PINO,,,,,,,,,
B2_r1_full_s43,B2,full,43.0,0.634587563766629,0.6303389928991632,0.8237526967544467,25.0,45.0,179.09058451652527,0.50210040807724,0.5964348316192627,CDR-PINO,,,,,,,,,
B2_r2_full_s43,B2,full,43.0,0.4348595478748844,0.4139840821605171,0.8382580453940145,55.0,75.0,298.6024401187897,0.45579794049263,0.5168277621269226,CDR-PINO,,,,,,,,,
B2_r3_full_s43,B2,full,43.0,0.7466916354556803,0.7839679395180654,0.8333880680426742,20.0,40.0,155.90773797035217,0.666388988494873,0.6053924560546875,CDR-PINO,,,,,,,,,
