track,cdr,classical,delong_auc1,delong_auc2,delong_diff,delong_se,delong_ci95,delong_z,delong_p
B3,B3_full_s43,RF_monthly_cdr7,0.8952581081824844,0.9024639211119744,-0.0072058129294898,0.0005662057713062,"[-0.008315576241250155, -0.006096049617729549]",-12.726491488890211,4.213513282971195e-37
B3,B3_full_s44,RF_monthly_cdr7,0.8898373466601512,0.9024639211119744,-0.012626574451823,0.0006128631763087,"[-0.013827786277388173, -0.011425362626257877]",-20.60259930751982,2.601007447207699e-94
B3,B3orig_nophys_s42,RF_monthly_cdr7,0.9051291179819642,0.9024639211119744,0.0026651968699898,0.0004910685050909,"[0.0017027026000116853, 0.0036276911399681032]",5.427342300228405,5.719936635825337e-08
B3,B3orig_nophys_s43,RF_monthly_cdr7,0.9047277945300106,0.9024639211119744,0.0022638734180363,0.000495291798174,"[0.0012931014936151276, 0.0032346453424575827]",4.570787213481376,4.8589546972168725e-06
B3,B3orig_nophys_s44,RF_monthly_cdr7,0.9035631536712848,0.9024639211119744,0.0010992325593104,0.0005015446269418,"[0.0001162050905044907, 0.002082260028116383]",2.191694418127967,0.0284015790624958
B3,B3orig_full_s42,RF_monthly_cdr7,0.8968202251980062,0.9024639211119744,-0.005643695913968,0.0005547808937691,"[-0.006731066465755606, -0.004556325362180538]",-10.172837560473868,2.62158110734462e-24
B3,B3orig_full_s43,RF_monthly_cdr7,0.8962478680832141,0.9024639211119744,-0.0062160530287601,0.0005564836873937,"[-0.007306761056051896, -0.005125345001468424]",-11.170234042030351,5.703041276756295e-29
B3,B3orig_full_s44,RF_monthly_cdr7,0.8891171912155551,0.9024639211119744,-0.0133467298964191,0.0006134244812067,"[-0.014549041879584487, -0.012144417913253838]",-21.75773922514793,5.8355262786787765e-105
B3,B3_nophys_s42,RF_monthly_cdr7_month,0.905093377741632,0.9719702664127854,-0.0668768886711532,0.0005856291739373,"[-0.06802472185207048, -0.06572905549023605]",-114.1966480623231,0.0
B3,B3_nophys_s43,RF_monthly_cdr7_month,0.904303314574322,0.9719702664127854,-0.0676669518384632,0.0005877196378542,"[-0.06881888232865768, -0.06651502134826887]",-115.13474704624294,0.0
B3,B3_nophys_s44,RF_monthly_cdr7_month,0.903668966325184,0.9719702664127854,-0.0683013000876013,0.0005956475728264,"[-0.06946876933034128, -0.06713383084486148]",-114.6673019475195,0.0
B3,B3_diff_s42,RF_monthly_cdr7_month,0.8854173707622436,0.9719702664127854,-0.0865528956505418,0.0007619206954173,"[-0.0880462602135599, -0.08505953108752372]",-113.59829989015704,0.0
B3,B3_diff_s43,RF_monthly_cdr7_month,0.891989736932197,0.9719702664127854,-0.0799805294805884,0.000711626859361,"[-0.08137531812493605, -0.0785857408362408]",-112.391105575192,0.0
B3,B3_diff_s44,RF_monthly_cdr7_month,0.879161716048418,0.9719702664127854,-0.0928085503643674,0.0008022422476852,"[-0.09438094516983053, -0.0912361555589043]",-115.68644088758867,0.0
B3,B3_diffadv_s42,RF_monthly_cdr7_month,0.8946137717790393,0.9719702664127854,-0.077356494633746,0.0006608976773023,"[-0.07865185408125863, -0.07606113518623348]",-117.04761159019542,0.0
B3,B3_diffadv_s43,RF_monthly_cdr7_month,0.8948200342275061,0.9719702664127854,-0.0771502321852792,0.0006578182290995,"[-0.07843955591431444, -0.07586090845624412]",-117.28199185188734,0.0
B3,B3_diffadv_s44,RF_monthly_cdr7_month,0.8929415890987705,0.9719702664127854,-0.0790286773140148,0.0006704579800407,"[-0.08034277495489478, -0.07771457967313494]",-117.8726775825811,0.0
B3,B3_full_s42,RF_monthly_cdr7_month,0.8952036319473489,0.9719702664127854,-0.0767666344654365,0.0006552237093535,"[-0.07805087293576955, -0.0754823959951035]",-117.16095338059516,0.0
B3,B3_full_s43,RF_monthly_cdr7_month,0.8952581081824844,0.9719702664127854,-0.0767121582303009,0.000649601502362,"[-0.07798537717493062, -0.07543893928567133]",-118.0911034709164,0.0
B3,B3_full_s44,RF_monthly_cdr7_month,0.8898373466601512,0.9719702664127854,-0.0821329197526341,0.0006918066654909,"[-0.08348886081699643, -0.08077697868827187]",-118.72235965570847,0.0
B3,B3orig_nophys_s42,RF_monthly_cdr7_month,0.9051291179819642,0.9719702664127854,-0.0668411484308212,0.0005839760918724,"[-0.06798574157089121, -0.06569655529075125]",-114.45870706196986,0.0
B3,B3orig_nophys_s43,RF_monthly_cdr7_month,0.9047277945300106,0.9719702664127854,-0.0672424718827747,0.0005881064831749,"[-0.06839516058979765, -0.06608978317575188]",-114.3372396096727,0.0
B3,B3orig_nophys_s44,RF_monthly_cdr7_month,0.9035631536712848,0.9719702664127854,-0.0684071127415006,0.0005947922995689,"[-0.06957290564865574, -0.06724131983434563]",-115.01008468179622,0.0
B3,B3orig_full_s42,RF_monthly_cdr7_month,0.8968202251980062,0.9719702664127854,-0.0751500412147792,0.0006473563963352,"[-0.07641885975159621, -0.07388122267796218]",-116.08758581859362,0.0
B3,B3orig_full_s43,RF_monthly_cdr7_month,0.8962478680832141,0.9719702664127854,-0.0757223983295712,0.0006467436200132,"[-0.07699001582479725, -0.07445478083434531]",-117.0825594352518,0.0
B3,B3orig_full_s44,RF_monthly_cdr7_month,0.8891171912155551,0.9719702664127854,-0.0828530751972302,0.0006989184851843,"[-0.08422295542819164, -0.08148319496626893]",-118.5446900511934,0.0
